,waste,wst_oper,unit,countryID,y2018,y2017,y2016,y2015,y2014,y2013,y2012,y2011,y2010,y2009,y2008,y2007,y2006,y2005,sum_year
1540,EE_CPV_CON,COL,KG_HAB,AT,,1.59,1.72,,,,,,,,,,,,3.31
1541,EE_CPV_CON,COL,KG_HAB,BE,,1.85,1.99,,,,,,,,,,,,3.84
1542,EE_CPV_CON,COL,KG_HAB,CY,,,0.0,0.0,,,,,,,,,,,0.0
1543,EE_CPV_CON,COL,KG_HAB,CZ,,1.45,1.46,1.31,,,,,,,,,,,4.22
1544,EE_CPV_CON,COL,KG_HAB,DE,,1.63,1.58,,,,,,,,,,,,3.21
1545,EE_CPV_CON,COL,KG_HAB,DK,,1.86,2.21,2.82,,,,,,,,,,,6.89
1546,EE_CPV_CON,COL,KG_HAB,GR,,0.7,0.69,0.72,,,,,,,,,,,2.11
1547,EE_CPV_CON,COL,KG_HAB,ES,,0.74,0.81,,,,,,,,,,,,1.55
1548,EE_CPV_CON,COL,KG_HAB,FR,,1.37,1.78,1.52,,,,,,,,,,,4.67
1549,EE_CPV_CON,COL,KG_HAB,IS,,1.71,1.68,2.14,,,,,,,,,,,5.53
1550,EE_CPV_CON,COL,KG_HAB,LI,,1.28,1.47,,,,,,,,,,,,2.75
1551,EE_CPV_CON,COL,KG_HAB,MT,,0.0,0.0,,,,,,,,,,,,0.0
1552,EE_CPV_CON,COL,KG_HAB,NL,,1.35,1.47,1.56,,,,,,,,,,,4.380000000000001
1553,EE_CPV_CON,COL,KG_HAB,PT,,0.0,,,,,,,,,,,,,0.0
1554,EE_CPV_CON,COL,KG_HAB,RO,,,0.36,0.27,,,,,,,,,,,0.63
1555,EE_CPV_CON,COL,KG_HAB,SK,,0.81,0.76,,,,,,,,,,,,1.57
1556,EE_CPV_CON,COL,KG_HAB,GB,,0.64,0.69,0.65,,,,,,,,,,,1.98
1643,EE_CPV_CON,MKT,KG_HAB,AT,,1.87,1.72,,,,,,,,,,,,3.59
1644,EE_CPV_CON,MKT,KG_HAB,BE,,1.6,1.62,,,,,,,,,,,,3.22
1645,EE_CPV_CON,MKT,KG_HAB,CY,,,,0.0,,,,,,,,,,,0.0
1646,EE_CPV_CON,MKT,KG_HAB,CZ,,1.21,1.21,1.71,,,,,,,,,,,4.13
1647,EE_CPV_CON,MKT,KG_HAB,DE,,1.89,1.64,,,,,,,,,,,,3.53
1648,EE_CPV_CON,MKT,KG_HAB,DK,,1.91,1.89,2.03,,,,,,,,,,,5.83
1649,EE_CPV_CON,MKT,KG_HAB,GR,,0.69,0.66,0.58,,,,,,,,,,,1.93
1650,EE_CPV_CON,MKT,KG_HAB,ES,,0.96,0.94,,,,,,,,,,,,1.9
1651,EE_CPV_CON,MKT,KG_HAB,FR,,1.25,1.45,1.35,,,,,,,,,,,4.05
1652,EE_CPV_CON,MKT,KG_HAB,IS,,3.51,2.95,2.89,,,,,,,,,,,9.35
1653,EE_CPV_CON,MKT,KG_HAB,LI,,1.28,1.47,,,,,,,,,,,,2.75
1654,EE_CPV_CON,MKT,KG_HAB,MT,,0.0,0.0,,,,,,,,,,,,0.0
1655,EE_CPV_CON,MKT,KG_HAB,NL,,1.33,1.34,1.32,,,,,,,,,,,3.99
1656,EE_CPV_CON,MKT,KG_HAB,PT,,0.0,,,,,,,,,,,,,0.0
1657,EE_CPV_CON,MKT,KG_HAB,RO,,,0.88,0.77,,,,,,,,,,,1.65
1658,EE_CPV_CON,MKT,KG_HAB,SK,,1.04,1.14,,,,,,,,,,,,2.1799999999999997
1659,EE_CPV_CON,MKT,KG_HAB,GB,,0.83,0.96,1.76,,,,,,,,,,,3.55
1678,EE_CPV_CON,RCV,KG_HAB,AT,,1.51,1.6,,,,,,,,,,,,3.1100000000000003
1679,EE_CPV_CON,RCV,KG_HAB,BE,,1.62,1.73,,,,,,,,,,,,3.35
1680,EE_CPV_CON,RCV,KG_HAB,CY,,,,0.0,,,,,,,,,,,0.0
1681,EE_CPV_CON,RCV,KG_HAB,CZ,,1.34,1.37,1.12,,,,,,,,,,,3.83
1682,EE_CPV_CON,RCV,KG_HAB,DE,,1.58,1.53,,,,,,,,,,,,3.1100000000000003
1683,EE_CPV_CON,RCV,KG_HAB,DK,,1.84,2.13,2.8,,,,,,,,,,,6.77
1684,EE_CPV_CON,RCV,KG_HAB,GR,,0.51,0.65,0.7,,,,,,,,,,,1.86
1685,EE_CPV_CON,RCV,KG_HAB,ES,,0.64,0.78,,,,,,,,,,,,1.42
1686,EE_CPV_CON,RCV,KG_HAB,FR,,1.22,1.59,1.37,,,,,,,,,,,4.18
1687,EE_CPV_CON,RCV,KG_HAB,IS,,1.54,0.82,,,,,,,,,,,,2.36
1688,EE_CPV_CON,RCV,KG_HAB,LI,,0.94,1.07,,,,,,,,,,,,2.01
1689,EE_CPV_CON,RCV,KG_HAB,NL,,1.19,1.42,1.51,,,,,,,,,,,4.119999999999999
1690,EE_CPV_CON,RCV,KG_HAB,PT,,0.0,,,,,,,,,,,,,0.0
1691,EE_CPV_CON,RCV,KG_HAB,RO,,,0.31,0.23,,,,,,,,,,,0.54
1692,EE_CPV_CON,RCV,KG_HAB,SK,,0.72,0.69,,,,,,,,,,,,1.41
1693,EE_CPV_CON,RCV,KG_HAB,GB,,0.55,0.59,0.53,,,,,,,,,,,1.6700000000000002
1727,EE_CPV_CON,RCY_REU,KG_HAB,AT,,1.23,1.42,,,,,,,,,,,,2.65
1728,EE_CPV_CON,RCY_REU,KG_HAB,BE,,1.45,1.57,,,,,,,,,,,,3.02
1729,EE_CPV_CON,RCY_REU,KG_HAB,CY,,,,0.0,,,,,,,,,,,0.0
1730,EE_CPV_CON,RCY_REU,KG_HAB,CZ,,1.32,1.34,1.09,,,,,,,,,,,3.75
1731,EE_CPV_CON,RCY_REU,KG_HAB,DE,,1.44,1.37,,,,,,,,,,,,2.81
1732,EE_CPV_CON,RCY_REU,KG_HAB,DK,,1.76,2.04,2.64,,,,,,,,,,,6.4399999999999995
1733,EE_CPV_CON,RCY_REU,KG_HAB,GR,,0.47,0.64,0.7,,,,,,,,,,,1.8099999999999998
1734,EE_CPV_CON,RCY_REU,KG_HAB,ES,,0.63,0.75,,,,,,,,,,,,1.38
1735,EE_CPV_CON,RCY_REU,KG_HAB,FR,,1.13,1.49,1.27,,,,,,,,,,,3.8899999999999997
1736,EE_CPV_CON,RCY_REU,KG_HAB,IS,,1.54,0.82,,,,,,,,,,,,2.36
1737,EE_CPV_CON,RCY_REU,KG_HAB,LI,,0.94,1.07,,,,,,,,,,,,2.01
1738,EE_CPV_CON,RCY_REU,KG_HAB,NL,,1.04,1.18,1.29,,,,,,,,,,,3.51
1739,EE_CPV_CON,RCY_REU,KG_HAB,PT,,0.0,,,,,,,,,,,,,0.0
1740,EE_CPV_CON,RCY_REU,KG_HAB,RO,,,0.27,0.19,,,,,,,,,,,0.46
1741,EE_CPV_CON,RCY_REU,KG_HAB,SK,,0.71,0.68,,,,,,,,,,,,1.3900000000000001
1742,EE_CPV_CON,RCY_REU,KG_HAB,GB,,0.52,0.55,0.52,,,,,,,,,,,1.59
1776,EE_CPV_CON,REU,KG_HAB,AT,,0.03,0.05,,,,,,,,,,,,0.08
1777,EE_CPV_CON,REU,KG_HAB,CY,,0.0,,0.0,,,,,,,,,,,0.0
1778,EE_CPV_CON,REU,KG_HAB,DE,,0.07,0.02,,,,,,,,,,,,0.09000000000000001
1779,EE_CPV_CON,REU,KG_HAB,DK,,0.02,0.01,0.01,,,,,,,,,,,0.04
1780,EE_CPV_CON,REU,KG_HAB,EE,,,,0.0,,,,,,,,,,,0.0
1781,EE_CPV_CON,REU,KG_HAB,FR,,0.01,0.01,0.02,,,,,,,,,,,0.04
1782,EE_CPV_CON,REU,KG_HAB,IS,,0.0,,0.0,,,,,,,,,,,0.0
1783,EE_CPV_CON,REU,KG_HAB,NL,,,0.0,0.0,,,,,,,,,,,0.0
1784,EE_CPV_CON,REU,KG_HAB,PT,,0.0,,,,,,,,,,,,,0.0
1785,EE_CPV_CON,REU,KG_HAB,GB,,0.03,0.03,0.04,,,,,,,,,,,0.1
3082,EE_ITT,COL,KG_HAB,AT,,2.24,2.17,2.12,2.11,2.06,2.09,1.98,1.95,1.88,1.84,1.59,1.37,0.38,23.779999999999998
3083,EE_ITT,COL,KG_HAB,BE,,1.9,1.94,1.41,1.64,1.66,1.74,1.88,1.71,1.62,1.52,1.35,1.15,1.02,20.54
3084,EE_ITT,COL,KG_HAB,BG,,0.36,0.49,0.58,0.35,0.39,0.43,0.32,0.39,0.28,0.61,0.51,,,4.71
3085,EE_ITT,COL,KG_HAB,CY,,0.57,0.81,0.37,0.58,0.55,0.61,0.61,0.66,0.32,0.37,0.17,1.14,0.36,7.12
3086,EE_ITT,COL,KG_HAB,CZ,,1.32,1.29,1.18,0.84,0.83,0.96,0.94,1.13,1.18,0.94,0.71,,,11.319999999999997
3087,EE_ITT,COL,KG_HAB,DE,,1.52,1.39,1.51,1.78,1.95,1.99,2.16,2.66,1.98,1.89,1.43,1.24,,21.5
3088,EE_ITT,COL,KG_HAB,DK,,1.82,1.84,2.19,2.06,2.28,2.42,2.61,3.3,2.65,3.0,3.12,2.09,,29.38
3089,EE_ITT,COL,KG_HAB,EE,,0.81,0.96,1.12,0.89,0.86,1.11,1.06,0.85,0.79,0.73,0.65,0.51,,10.34
3090,EE_ITT,COL,KG_HAB,GR,,0.51,0.49,0.47,0.48,0.42,0.46,0.57,0.65,0.75,0.54,0.27,0.09,0.04,5.739999999999999
3091,EE_ITT,COL,KG_HAB,ES,,0.53,0.49,0.41,0.43,0.5,0.44,0.49,0.56,0.34,0.37,0.32,0.06,,4.94
3092,EE_ITT,COL,KG_HAB,EU27_2020,,1.23,1.15,1.08,1.11,1.06,1.08,1.14,,,,,,,7.85
3093,EE_ITT,COL,KG_HAB,EU28,,1.32,1.31,1.26,1.22,1.2,1.29,1.36,,,,,,,8.96
3094,EE_ITT,COL,KG_HAB,FI,,2.12,1.73,1.71,1.72,1.51,1.41,1.48,1.5,2.06,2.19,1.96,1.33,0.54,21.259999999999998
3095,EE_ITT,COL,KG_HAB,FR,,1.46,1.41,1.17,1.02,0.98,1.01,1.07,0.98,1.05,0.74,0.45,0.13,,11.470000000000002
3096,EE_ITT,COL,KG_HAB,HR,,1.17,1.3,0.84,0.64,0.62,0.69,0.77,,,,,,,6.029999999999999
3097,EE_ITT,COL,KG_HAB,HU,,1.1,0.99,0.9,0.91,0.97,0.9,0.39,0.5,0.6,0.57,0.35,0.24,0.12,8.54
3098,EE_ITT,COL,KG_HAB,IE,,1.41,1.67,1.52,1.38,1.56,1.48,1.3,0.95,1.17,2.14,2.54,,,17.12
3099,EE_ITT,COL,KG_HAB,IS,,1.71,1.62,2.1,2.18,1.9,2.47,1.91,1.43,1.05,,,,,16.37
3100,EE_ITT,COL,KG_HAB,IT,,,,0.98,0.98,0.54,0.6,0.69,0.65,0.66,0.61,0.34,,,6.050000000000001
3101,EE_ITT,COL,KG_HAB,LI,,1.72,1.91,1.97,1.56,2.11,1.18,1.31,0.0,0.0,,,,,11.76
3102,EE_ITT,COL,KG_HAB,LT,,0.61,0.65,0.74,1.07,1.12,0.62,0.51,0.37,0.22,0.44,0.49,0.33,0.09,7.260000000000001
3103,EE_ITT,COL,KG_HAB,LU,,1.15,1.39,1.32,1.22,1.39,1.44,1.79,1.8,1.67,1.69,1.78,1.21,,17.85
3104,EE_ITT,COL,KG_HAB,LV,,0.44,0.26,0.28,0.27,0.23,0.25,0.24,0.27,0.23,0.39,0.36,,,3.22
3105,EE_ITT,COL,KG_HAB,MT,,1.06,0.85,0.97,0.76,0.98,0.79,0.56,0.25,0.27,0.08,0.12,0.21,0.07,6.970000000000001
3106,EE_ITT,COL,KG_HAB,NL,,1.68,1.66,1.7,1.76,0.86,1.05,1.16,1.24,1.37,1.4,1.28,1.13,1.03,17.32
3107,EE_ITT,COL,KG_HAB,NO,,2.53,2.77,2.82,2.81,2.79,3.32,3.62,3.37,4.11,4.51,4.33,3.96,3.44,44.379999999999995
3108,EE_ITT,COL,KG_HAB,PL,,0.88,0.83,0.64,0.68,0.81,0.71,0.64,0.48,0.4,0.39,0.23,0.08,,6.7700000000000005
3109,EE_ITT,COL,KG_HAB,PT,,0.87,0.91,0.81,1.08,0.68,0.67,0.8,0.69,1.16,1.13,0.31,0.11,,9.22
3110,EE_ITT,COL,KG_HAB,RO,,,0.29,0.35,0.24,0.24,0.25,0.27,0.32,0.45,0.3,0.06,0.01,,2.78
3111,EE_ITT,COL,KG_HAB,SE,,2.06,2.65,2.41,2.48,3.22,3.41,3.64,3.39,3.3,3.21,3.26,2.77,1.05,36.85
3112,EE_ITT,COL,KG_HAB,SI,,0.98,1.29,1.09,1.09,0.73,0.87,0.98,1.39,0.9,0.91,0.61,,,10.84
3113,EE_ITT,COL,KG_HAB,SK,,0.8,0.74,0.57,0.5,0.67,0.52,0.54,0.6,0.49,0.47,0.39,0.16,0.05,6.499999999999999
3114,EE_ITT,COL,KG_HAB,GB,,1.94,2.43,2.46,1.97,2.15,2.73,2.88,2.64,2.48,2.14,0.91,,,24.730000000000004
3278,EE_ITT,MKT,KG_HAB,AT,,3.89,3.96,3.63,3.33,3.14,3.32,3.36,3.43,3.32,3.6,3.56,3.26,1.39,43.190000000000005
3279,EE_ITT,MKT,KG_HAB,BE,,2.4,2.33,2.02,2.01,3.67,6.54,6.61,6.1,6.66,7.24,5.86,6.03,3.12,60.59
3280,EE_ITT,MKT,KG_HAB,BG,,0.52,0.55,0.56,0.57,0.48,0.44,0.42,0.45,0.44,0.09,0.2,,,4.720000000000001
3281,EE_ITT,MKT,KG_HAB,CY,,1.11,0.86,0.95,0.92,0.93,1.5,2.05,2.35,2.92,1.6,1.55,0.63,2.43,19.799999999999997
3282,EE_ITT,MKT,KG_HAB,CZ,,2.16,2.34,2.94,4.15,4.69,3.69,4.18,3.25,4.35,5.12,5.31,,,42.18
3283,EE_ITT,MKT,KG_HAB,DE,,2.97,2.94,2.8,3.04,2.89,3.09,3.36,3.49,3.77,3.9,3.67,3.82,,39.74
